,Purchaser Name
0,14 REELS PLUS LLP 
1,A B C INDIA LIMITED 
2,AAKANKSHA BAHETY 
3,AALAYA CONSTRUCTIONS 
4,AARISH SOLAR POWER PRIVATE LIMITED 
5,AASHMAN ENERGY PRIVATE LIMITED 
6,AASHMAN ENERGY PVT LTD 
7,AAYTEE LOGISTICS PRIVATE LIMITED 
8,ABHAY SHUKLA 
9,ABHIJIT INTERNATIONAL 
10,ABHINANDANSTOCKBROKINGPVTLTD 
11,ABHINAV JAIN 
12,ABHISHEK KAUSHIK 
13,ABHISHEK RATHI 
14,ABHISHEK TIBREWAL 
15,ABHRAJIT MITRA 
16,ABIS AGROTECH PVT LTD 
17,ABNLINVESTMENTLIMITED 
18,ACE COMERCIAL COMPANY PRIVATE LIMITED 
19,ACE URBAN DEVELOPERS PVT LTD 
20,ACHINT MAHESHWARI 
21,ACHINTYA SOLAR POWER PRIVATE LIMITED 
22,ACHINTYA SOLAR POWER PVT LTD 
23,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED 
24,ADIT BUILD WELL PVT LTD 
25,ADITYA KUMAR GARG 
26,ADWITA FINVEST PRIVATE LIMITED 
27,AGARWAL M BISHAN 
28,AIC VMR PROJECTS PVT LTD 
29,AIS DISTRIBUTION 
30,"AISHWARYA BUSINESS CORPORATION PVT, LTD "
31,AJANTA PHARMA LTD 
32,AJAY GUPTA 
33,AJAY METALLOYS PVT LTD 
34,AJAY SARAF 
35,AJIT KUMAR JAIN 
36,AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE) 
37,AKSHAT GREENTECH PRIVATE LIMITED 
38,ALA RAMANJANEYULU 
39,ALEMBICPHARMACEUTICALSLINCLRTGS 
40,ALKEM LABORATORIES LIMITED 
41,ALLANA COLD STORAGE 
42,ALLANASONS PRIVATE L 
43,ALMIGHTY FINANCE AND INVESTMENT P 
44,ALOK KUMAR SOMANI 
45,ALOK NARAYAN PANDEY 
46,AMAN JAISWAL 
47,AMAR KRISHNA SAJJA 
48,AMAR SECURITIES PVT LTD 
49,AMARAVATI TEKSYSTEMS PRIVATE LIMITE 
50,AMBUJA HOUSING AND URBAN INFRASTRUCTURE CO. LTD. 
51,AMBUJA REALTY EVENTS MANAGMENT LTD 
52,AMD ENGINEERING CONSULTANTS 
53,AMIT AGARWAL 
54,AMIT GUPTA 
55,AMIT SOMANI 
56,AMRITA AGARWAL 
57,ANAND AGARWAL 
58,ANAND AGRAWAL 
59,ANAND PIMPARKAR 
60,ANAND SAKHARAM PIMPARKAR 
61,ANANT UDYOG LLP 
62,ANANTPURA WIND ENERGIES PVT LTD 
63,ANBEE CONSTRUCTIONS LLP 
64,ANGEL FIBERS LIMITED 
65,ANIL CHANDAK 
66,ANIL KUMAR KEDIA 
67,ANIL KUMAR MALAWAT 
68,ANIMALA WIND POWER PRIVATE LIMITED 
69,ANITA HEMANT SHAH 
70,ANJANI ROADLINES 
71,ANKIT AGARWAL 
72,ANKIT BAHETY 
73,ANKUR SINGHAL S O SH ANIL SIN 
74,ANSHUL GADIA 
75,ANTIQUE INDIA PRIVATE LIMITED 
76,ANUBHAV CHANDAK 
77,ANUJ KUMAR JAIN 
78,APARNA FARMS AND ESTATES LLP 
79,APCO INFRATECH PRIVATE LIMITED 
80,APCO INFRATECH PRIVATE LTD 
81,APCO INFRATECH PVT LTD FORMERLY AP 
82,APL HEALTHCARE LIMITED 
83,APOLLO TYRES LIMITED 
84,APOLLO VINTRADE PVT LTD 
85,AQ SQUARE REALTORS PRIVATE LIMITED 
86,AQUA SPACE DEVELOPERS PRIVATE LIMIT 
87,ARAVALI TECHNICAL SERVICES PVT LTD 
88,ARAVIND S 
89,ARCEDGES BUILDING INDIA LLP 
90,ARCHANA PROPERTIES P LTD 
91,ARDENT STEEL LIMITED 
92,ARIHANT ENTERPRISES 
93,ARIZONAGLOBALSERVICESPVTLTDBR 
94,ARROW PROJECTS PVT LTD 
95,ARS COATED STEEL 
96,ARUN KUMAR GANERIWALA 
97,ARUN KUMAR JOSHI 
98,ARUNANGSHU MUKHERJEE 
99,ARVIND LIMITED 
100,ARVINDBEAUTYBRANDSRETAILPVTLTD 
101,ARVINDINFRACONLLP 
102,ASHISH AGARWAL 
103,ASHISH JAIN 
104,ASHISH KHANDELWAL 
105,ASHOK CHOUDHARY 
106,ASHOK DALMIA 
107,ASHOK KUMAR 
108,ASHOK KUMAR MODI 
109,ASHOK PATNI 
110,ASHOKA BAGEWADI SAUNDATTI ROAD LIMITED 
111,ASHOKA DEVELOPERS 
